iter	Passed	Remaining
943	6890	408
944	6893	401
945	6895	393
946	6897	386
947	6899	378
948	6901	370
949	6903	363
950	6904	355
951	6906	348
952	6907	340
953	6909	333
954	6909	325
955	6911	318
956	6914	310
957	6915	303
958	6917	295
959	6919	288
960	6930	281
961	6939	274
962	6948	266
963	6953	259
964	6954	252
965	6959	244
966	6963	237
967	6965	230
968	6970	222
969	6973	215
970	6975	208
971	6978	201
972	6981	193
973	6986	186
974	6990	179
975	6993	171
976	6996	164
977	7001	157
978	7006	150
979	7009	143
980	7014	135
981	7020	128
982	7022	121
983	7025	114
984	7031	107
985	7041	99
986	7047	92
987	7053	85
988	7059	78
989	7062	71
990	7066	64
991	7069	57
992	7075	49
993	7079	42
994	7080	35
995	7083	28
996	7086	21
997	7088	14
998	7090	7
999	7093	0
